,Unnamed: 0,Name,Language,Original,Transcription,Score
0,0,Joanna,English,Gwen had her best sleep ever on her new bed of nails.,Gwen had her best sleep ever on her new bed of nails.,0
1,1,Joanna,English,When confronted with a rotary dial phone the teenager was perplexed.,"When confronted with the rotary dial found, a teenager was perplexed.",11
2,2,Joanna,English,There was no telling what thoughts would come from the machine.,There was no telling what thoughts would come from the machine.,0
3,3,Joanna,English,Baby wipes are made of chocolate stardust.,Baby wipes are made of chocolate stardust.,0
4,4,Joanna,English,It caught him off guard that space smelled of seared steak.,It cut him off guard that space smelled of seared steak.,3
5,5,Joanna,English,"You're unsure whether or not to trust him, but very thankful that you wore a turtle neck.","You're unsure whether or not to trust him, but very thankful that you wore a turtleneck.",1
6,6,Joanna,English,Cursive writing is the best way to build a race track.,CUrsive writing is the best way to build the racetrack.,5
7,7,Joanna,English,Today is the day I'll finally know what brick tastes like.,Today is the day I'll finally know what brick tastes like.,0
8,8,Joanna,English,"There was no ice cream in the freezer, nor did they have money to go to the store.","There was no ice cream in the freezer, nor did they have money to go to the store.",0
9,9,Joanna,English,Nothing seemed out of place except the washing machine in the bar.,Nothing seemed out of place except the washing machine in the bar.,0
10,10,Joanna,English,"He realized there had been several deaths on this road, but his concern rose when he saw the exact number.","He realized there had been several deaths on this road, but his concern rose when he saw the exact number.",0
11,11,Joanna,English,Jeanne wished she has chosen the red button.,Jean wished she has chosen the red button.,2
12,12,Joanna,English,"David subscribes to the ""stuff your tent into the bag"" strategy over nicely folding it.",David subscribes to the stuff your tent into the back strategy over nicely folding it.,3
13,13,Joanna,English,All you need to do is pick up the pen and begin.,All you need to do is pick up the pen and begin.,0
14,14,Joanna,English,The underground bunker was filled with chips and candy.,The underground bunker was filled with chips and candy.,0
15,15,Joanna,English,"It dawned on her that others could make her happier, but only she could make herself happy.","It dawned on her that others could make her happier, but only she could make herself happy.",0
16,16,Joanna,English,The green tea and avocado smoothie turned out exactly as would be expected.,"The green tea, an avocado smoothie, turned out exactly as would be expected.",3
17,17,Joanna,English,The thunderous roar of the jet overhead confirmed her worst fears.,The thunderous roar of the jet overhead confirmed her worst fears.,0
18,18,Joanna,English,It was the scarcity that fueled his creativity.,It was the scarcity that fueled his creativity.,0
19,19,Joanna,English,"The sky is clear, the stars are twinkling.","The sky is clear, the stars are twinkling.",0
20,20,Joanna,English,You have no right to call yourself creative until you look at a trowel and think that it would make a great lockpick.,You have no right to call yourself creative until you look at a trowel and think that it would make a great lock pick.,1
21,21,Joanna,English,I covered my friend in baby oil.,I covered my friend in Baby Oil.,2
22,22,Joanna,English,It's much more difficult to play tennis with a bowling ball than it is to bowl with a tennis ball.,It's much more difficult to play tennis with a bowling ball than it is to bowl with a tennis ball.,0
23,23,Joanna,English,He didn't understand why the bird wanted to ride the bicycle.,He didn't understand why the bird wanted to ride the bicycle.,0
24,24,Joanna,English,He had unknowingly taken up sleepwalking as a nighttime hobby.,He had unknowingly taken up sleepwalking as a nighttime hobby.,0
25,25,Joanna,English,The fact that there's a stairway to heaven and a highway to hell explains life well.,The fact that there's a stairway to heaven and a highway to hell explains life well.,0
26,26,Joanna,English,She couldn't understand why nobody else could see that the sky is full of cotton candy.,She couldn't understand why nobody else could see that the sky is full of cotton candy.,0
27,27,Joanna,English,The fence was confused about whether it was supposed to keep things in or keep things out.,Defense was confused about whether it was supposed to keep things in or keep things out.,4
28,28,Joanna,English,"For oil spots on the floor, nothing beats parking a motorbike in the lounge.","For oil spots on the floor, nothing beats parking a motorbike in the lounge.",0
29,29,Joanna,English,Nancy was proud that she ran a tight shipwreck.,Nancy was proud that she ran a tight ship wreck.,1
30,30,Joanna,English,We have young kids who often walk into our room at night for various reasons including clowns in the closet.,"We have young kids who often walk into our room at night for various reasons, including clowns in the closet.",1
31,31,Joanna,English,The lyrics of the song sounded like fingernails on a chalkboard.,The lyrics of the song sounded like fingernails on a chalkboard.,0
32,32,Joanna,English,Too many prisons have become early coffins.,Too many prisons have become early coffins.,0
33,33,Joanna,English,Everyone pretends to like wheat until you mention barley.,Everyone pretends to like weed until you mentioned barley.,5
34,34,Joanna,English,The truth is that you pay for your lifestyle in hours.,The truth is that you pay for your lifestyle in hours.,0
35,35,Joanna,English,The snow-covered path was no help in finding his way out of the back-country.,The snow covered path was no help in finding his way out of the backcountry.,2
36,36,Joanna,English,Nudist colonies shun fig-leaf couture.,Nudist colonies shun fig leaf couture.,1
37,37,Joanna,English,Beach-combing replaced wine tasting as his new obsession.,Beachcombing replaced wine tasting as his new obsession.,1
38,38,Joanna,English,I'd always thought lightning was something only I could see.,I'd always thought lightning was something only I could see.,0
39,39,Joanna,English,He dreamed of eating green apples with worms.,He dreamed of eating green apples with worms.,0
40,40,Joanna,English,"She was sad to hear that fireflies are facing extinction due to artificial light, habitat loss, and pesticides.","She was sad to hear that fireflies are facing extinction due to artificial light, habitat loss and pesticides.",1
41,41,Joanna,English,He was so preoccupied with whether or not he could that he failed to stop to consider if he should.,He was so preoccupied with whether or not he could that he failed to stop to consider if he should.,0
42,42,Joanna,English,It was a really good Monday for being a Saturday.,It was a really good monday for being a saturday.,2
43,43,Joanna,English,I ate a sock because people on the Internet told me to.,I ate a sock because people on the Internet told me to.,0
44,44,Joanna,English,I would be delighted if the sea were full of cucumber juice.,I would be delighted if the sea were full of cucumber juice.,0
45,45,Joanna,English,He felt that dining on the bridge brought romance to his relationship with his cat.,He felt that dining on the bridge brought romance to his relationship with his cat.,0
46,46,Joanna,English,There are few things better in life than a slice of pie.,There are a few things better in life than a slice of pie.,2
47,47,Joanna,English,A purple pig and a green donkey flew a kite in the middle of the night and ended up sunburnt.,A purple pig and a green donkey fluid kite in the middle of the night and ended up sunburnt.,4
48,48,Joanna,English,"She saw the brake lights, but not in time.","She saw the brake lights, but not in time.",0
49,49,Joanna,English,Please wait outside of the house.,Please wait outside of the house.,0
50,50,Joanna,English,Truth in advertising and dinosaurs with skateboards have much in common.,Truth in advertising and dinosaurs with skateboards have much in common.,0
51,51,Joanna,English,"There were white out conditions in the town, subsequently, the roads were impassable.","There were white out conditions in the town, subsequently the roads were impassable.",1
52,52,Joanna,English,I thought red would have felt warmer in summer but I didn't think about the equator.,"I thought red would have felt warmer in summer, but I didn't think about the equator.",1
53,53,Joanna,English,The toy brought back fond memories of being lost in the rain forest.,The toy brought back fond memories of being lost in the rain forest.,0
54,54,Joanna,English,Nobody has encountered an explosive daisy and lived to tell the tale.,Nobody has encountered an explosive daisy and lived to tell the tale.,0
55,55,Joanna,English,"After exploring the abandoned building, he started to believe in ghosts.","After exploring the abandoned building, he started to believe in ghosts.",0
56,56,Joanna,English,The truth is that you pay for your lifestyle in hours.,The truth is that you pay for your lifestyle in hours.,0
57,57,Joanna,English,The father died during childbirth.,The father died during childbirth.,0
58,58,Joanna,English,Imagine his surprise when he discovered that the safe was full of pudding.,Imagine his surprise when he discovered that the safe was full of pudding.,0
59,59,Joanna,English,A song can make or ruin a person’s day if they let it get to them.,A song can make or ruin a personas day if they let it get to them.,1
60,60,Joanna,English,She had a difficult time owning up to her own crazy self.,She had a difficult time owning up to her own crazy self.,0
61,61,Joanna,English,He dreamed of leaving his law firm to open a portable dog wash.,He dreamed of leaving his law firm to open a portable dog wash.,0
62,62,Joanna,English,I'd always thought lightning was something only I could see.,I'd always thought lightning was something only I could see.,0
63,63,Joanna,English,Everyone was curious about the large white blimp that appeared overnight.,Everyone was curious about the large white blimp that appeared overnight.,0
64,64,Joanna,English,The clouds formed beautiful animals in the sky that eventually created a tornado to wreak havoc.,The clouds form beautiful animals in the sky that eventually created a tornado to wreak havoc.,2
65,65,Joanna,English,Pink horses galloped across the sea.,Pink horses galloped across the sea.,0
66,66,Joanna,English,"In hopes of finding out the truth, he entered the one-room library.","In hopes of finding out the truth, he entered the one room library.",1
67,67,Joanna,English,She tilted her head back and let whip cream stream into her mouth while taking a bath.,She tilted her head back and let whip cream stream into her mouth while taking a bath.,0
68,68,Joanna,English,They looked up at the sky and saw a million stars.,They looked up at the sky and saw a million stars.,0
69,69,Joanna,English,The group quickly understood that toxic waste was the most effective barrier to use against the zombies.,The group quickly understood that toxic waste was the most effective barrier to use against the zombies.,0
70,70,Joanna,English,The gloves protect my feet from excess work.,The gloves protect my feet from excess work.,0
71,71,Joanna,English,"Green should have smelled more tranquil, but somehow it just tasted rotten.","Green should have smelled more tranquil, but somehow it just tasted rotten.",0
72,72,Joanna,English,The secret ingredient to his wonderful life was crime.,The secret ingredient to his wonderful life was crime.,0
73,73,Joanna,English,He decided to live his life by the big beats manifesto.,He decided to live his life by the big beats manifesto.,0
74,74,Joanna,English,"In the end, he realized he could see sound and hear words.","In the end, he realized he could see sound and hear words.",0
75,75,Joanna,English,The pet shop stocks everything you need to keep your anaconda happy.,The pet shop stocks everything you need to keep your anaconda happy.,0
76,76,Joanna,English,"He used to get confused between soldiers and shoulders, but as a military man, he now soldiers responsibility.","He used to get confused between soldiers and shoulders, but as a military man, he now soldiers responsibility.",0
77,77,Joanna,English,She advised him to come back at once.,She advised him to come back at once.,0
78,78,Joanna,English,The beauty of the African sunset disguised the danger lurking nearby.,The beauty of the African sunset disguised the danger lurking nearby.,0
79,79,Joanna,English,"The rusty nail stood erect, angled at a 45-degree angle, just waiting for the perfect barefoot to come along.","The rusty nails stood erect, angled at a 45° angle, just waiting for the perfect barefoot to come along.",8
80,80,Joanna,English,We should play with legos at camp.,We should play with legos at camp.,0
81,81,Joanna,English,I am my aunt's sister's daughter.,I am my aunt's sister's daughter.,0
82,82,Joanna,English,"It was obvious she was hot, sweaty, and tired.","It was obvious she was hot, sweaty and tired.",1
83,83,Joanna,English,Charles ate the french fries knowing they would be his last meal.,Charles ate the french fries knowing they would be his last meal.,0
84,84,Joanna,English,Watching the geriatric men’s softball team brought back memories of 3 yr olds playing t-ball.,Watching the geriatric Meno softball team brought back memories of three years olds playing t ball.,12
85,85,Joanna,English,He had a hidden stash underneath the floorboards in the back room of the house.,He had a hidden stash underneath the floorboards in the back room of the house.,0
86,86,Joanna,English,The father handed each child a roadmap at the beginning of the 2-day road trip and explained it was so they could find their way home.,The father handed each child a road map at the beginning of the two day road trip and explained it was so they could find their way home.,5
87,87,Joanna,English,It was always dangerous to drive with him since he insisted the safety cones were a slalom course.,"It was always dangerous to drive with him, since he insisted the safety cones were a slalom course.",1
88,88,Joanna,English,Plans for this weekend include turning wine into water.,Plans for this weekend include turning wine into water.,0
89,89,Joanna,English,He had accidentally hacked into his company's server.,He had accidentally hacked into his company's server.,0
90,90,Joanna,English,She found his complete dullness interesting.,She found his complete illness interesting.,2
91,91,Joanna,English,Karen realized the only way she was getting into heaven was to cheat.,Karen realized the only way she was getting into Heaven was to cheat.,1
92,92,Joanna,English,Siri became confused when we reused to follow her directions.,Syria became confused when we re used to follow her directions.,3
93,93,Joanna,English,It was the first time he had ever seen someone cook dinner on an elephant.,It was the first time he had ever seen someone cook dinner on an elephant.,0
94,94,Joanna,English,Fluffy pink unicorns are a popular status symbol among macho men.,Fluffy pink unicorns are a popular status symbol among macho men.,0
95,95,Joanna,English,Love is not like pizza.,Love is not like Pizza.,1
96,96,Joanna,English,Her scream silenced the rowdy teenagers.,Her scream silenced the rowdy teenagers.,0
97,97,Joanna,English,"The waves were crashing on the shore, it was a lovely sight.","The waves were crashing on the shore, It was a lovely sight.",1
98,98,Joanna,English,Sometimes you have to just give up and win by cheating.,Sometimes you have to just give up and win by cheating.,0
99,99,Joanna,English,He loved eating his bananas in hot dog buns.,He loved eating his bananas and hot dog buns.,2
100,100,Emma,British,Gwen had her best sleep ever on her new bed of nails.,Gwen had her best sleep ever on her new bed of nails.,0
101,101,Emma,British,When confronted with a rotary dial phone the teenager was perplexed.,"When confronted with a rodeo dial phone, the teenager was perplexed.",5
102,102,Emma,British,There was no telling what thoughts would come from the machine.,There was no telling what thoughts would come from the machine.,0
103,103,Emma,British,Baby wipes are made of chocolate stardust.,Baby wipes are made of chocolate stardust.,0
104,104,Emma,British,It caught him off guard that space smelled of seared steak.,It caught him off guard that space smelled of seared steak.,0
105,105,Emma,British,"You're unsure whether or not to trust him, but very thankful that you wore a turtle neck.","You're unsure whether or not to trust him, but very thankful that you wore a turtleneck.",1
106,106,Emma,British,Cursive writing is the best way to build a race track.,CUrsive writing is the best way to build a racetrack.,2
107,107,Emma,British,Today is the day I'll finally know what brick tastes like.,Today is the day I'll finally know what brick tastes like.,0
108,108,Emma,British,"There was no ice cream in the freezer, nor did they have money to go to the store.","There was no ice cream in the freezer, nor did they have money to go to the store.",0
109,109,Emma,British,Nothing seemed out of place except the washing machine in the bar.,Nothing seemed out of place except the washing machine in the bar.,0
110,110,Emma,British,"He realized there had been several deaths on this road, but his concern rose when he saw the exact number.","He realized there had been several deaths on this road, but his concern rose when he saw the exact number.",0
111,111,Emma,British,Jeanne wished she has chosen the red button.,Jean wished she has chosen the red button.,2
112,112,Emma,British,"David subscribes to the ""stuff your tent into the bag"" strategy over nicely folding it.",David subscribes to the stuff you tend into the bag strategy over nicely folding it.,4
113,113,Emma,British,All you need to do is pick up the pen and begin.,All you need to do is pick up the pen and begin.,0
114,114,Emma,British,The underground bunker was filled with chips and candy.,The underground bunker was filled with chips and candy.,0
115,115,Emma,British,"It dawned on her that others could make her happier, but only she could make herself happy.","It dawned down her that others could make her happier, but only she could make herself happy.",2
116,116,Emma,British,The green tea and avocado smoothie turned out exactly as would be expected.,The green tea and avocado smoothie turned out exactly as would be expected.,0
117,117,Emma,British,The thunderous roar of the jet overhead confirmed her worst fears.,The thunder is roar of the jet overhead confirmed her worst fears.,2
118,118,Emma,British,It was the scarcity that fueled his creativity.,It was the scarcity that fueled his creativity.,0
119,119,Emma,British,"The sky is clear, the stars are twinkling.","The sky is clear, the stars are twinkling.",0
120,120,Emma,British,You have no right to call yourself creative until you look at a trowel and think that it would make a great lockpick.,You have no right to call yourself creative until you look at a drawl and think that it would make a great lark pick.,6
121,121,Emma,British,I covered my friend in baby oil.,I covered my friend in Baby Oil.,2
122,122,Emma,British,It's much more difficult to play tennis with a bowling ball than it is to bowl with a tennis ball.,It's much more difficult to play tennis with a bowling ball than it is to bowl with a tennis ball.,0
123,123,Emma,British,He didn't understand why the bird wanted to ride the bicycle.,He didn't understand why the bird wanted to ride the bicycle.,0
124,124,Emma,British,He had unknowingly taken up sleepwalking as a nighttime hobby.,He had unknowingly taken up sleepwalking as a nighttime harvey.,4
125,125,Emma,British,The fact that there's a stairway to heaven and a highway to hell explains life well.,The fact that there's a stairway to heaven and a highway to hell explains life well.,0
126,126,Emma,British,She couldn't understand why nobody else could see that the sky is full of cotton candy.,She couldn't understand why nobody else could see that the sky is full of cotton candy.,0
127,127,Emma,British,The fence was confused about whether it was supposed to keep things in or keep things out.,The fence was confused about whether it was supposed to keep things in or keep things out.,0
128,128,Emma,British,"For oil spots on the floor, nothing beats parking a motorbike in the lounge.","For royal spots on the floor, nothing beats parking a motorbike in the lounge.",3
129,129,Emma,British,Nancy was proud that she ran a tight shipwreck.,Nancy was proud that she ran a tight ship wreck.,1
130,130,Emma,British,We have young kids who often walk into our room at night for various reasons including clowns in the closet.,"We have young kids who often walk into our room at night for various reasons, including clowns in the closet.",1
131,131,Emma,British,The lyrics of the song sounded like fingernails on a chalkboard.,The lyrics of the sound sounded like fingernails and a chalkboard.,4
132,132,Emma,British,Too many prisons have become early coffins.,Too many prisons have become early coffins.,0
133,133,Emma,British,Everyone pretends to like wheat until you mention barley.,Everyone pretends to like wheat until you mentioned Bonnie.,8
134,134,Emma,British,The truth is that you pay for your lifestyle in hours.,The truth is that you pay for your lifestyle in our.,2
135,135,Emma,British,The snow-covered path was no help in finding his way out of the back-country.,The snow covered path was no help in finding his way out of the back country.,2
136,136,Emma,British,Nudist colonies shun fig-leaf couture.,The nudist colonies Shan fig leaf couture.,8
137,137,Emma,British,Beach-combing replaced wine tasting as his new obsession.,Beachcombing replaced wine tasting as his new obsession.,1
138,138,Emma,British,I'd always thought lightning was something only I could see.,I'd always thought lightning was something only I could see.,0
139,139,Emma,British,He dreamed of eating green apples with worms.,He dreamed of eating green apples with worms.,0
140,140,Emma,British,"She was sad to hear that fireflies are facing extinction due to artificial light, habitat loss, and pesticides.","She was sad to hear that fireflies are facing extinction due to artificial light, habitat loss and pesticides.",1
141,141,Emma,British,He was so preoccupied with whether or not he could that he failed to stop to consider if he should.,He was so preoccupied with whether or not he could that he failed to start to consider if he should.,3
142,142,Emma,British,It was a really good Monday for being a Saturday.,It was a really good monday for being a saturday.,2
143,143,Emma,British,I ate a sock because people on the Internet told me to.,I ate a sock because people on the Internet told me to.,0
144,144,Emma,British,I would be delighted if the sea were full of cucumber juice.,I would be delighted if the sea was full of cucumber juice.,3
145,145,Emma,British,He felt that dining on the bridge brought romance to his relationship with his cat.,He felt that dining on the bridge brought romance to his relationship with his cat.,0
146,146,Emma,British,There are few things better in life than a slice of pie.,There are few things better in life than a slice of pie.,0
147,147,Emma,British,A purple pig and a green donkey flew a kite in the middle of the night and ended up sunburnt.,A purple pig and a green donkey flew a kite in the middle of the night and ended up sunburned.,2
148,148,Emma,British,"She saw the brake lights, but not in time.","She saw the brake lights, but not in time.",0
149,149,Emma,British,Please wait outside of the house.,Please wait outside of the house.,0
150,150,Emma,British,Truth in advertising and dinosaurs with skateboards have much in common.,Truth in advertising and dinosaurs with skateboards have much in common.,0
151,151,Emma,British,"There were white out conditions in the town, subsequently, the roads were impassable.","There were white out conditions in the town, subsequently the roads were impassable.",1
152,152,Emma,British,I thought red would have felt warmer in summer but I didn't think about the equator.,"I thought red would have felt warmer in summer, but I didn't think about the equator.",1
153,153,Emma,British,The toy brought back fond memories of being lost in the rain forest.,The toy brought back found memories of being lost in the rain forest.,1
154,154,Emma,British,Nobody has encountered an explosive daisy and lived to tell the tale.,Nobody has encountered an explosive daisy and lived to tell the tale.,0
155,155,Emma,British,"After exploring the abandoned building, he started to believe in ghosts.","After exploring the abandoned building, he started to believe in ghosts.",0
156,156,Emma,British,The truth is that you pay for your lifestyle in hours.,The truth is that you pay for your lifestyle in our.,2
157,157,Emma,British,The father died during childbirth.,The father died during childbirth.,0
158,158,Emma,British,Imagine his surprise when he discovered that the safe was full of pudding.,Imagine his surprise when he discovered that the safe was full of pudding.,0
159,159,Emma,British,A song can make or ruin a person’s day if they let it get to them.,Assange can make or ruin a personas day if they let it get to them.,4
160,160,Emma,British,She had a difficult time owning up to her own crazy self.,She had a difficult time owning up to her own crazy self.,0
161,161,Emma,British,He dreamed of leaving his law firm to open a portable dog wash.,He dreamed of leaving his law firm to open a portable dog wash.,0
162,162,Emma,British,I'd always thought lightning was something only I could see.,I'd always thought lightning was something only I could see.,0
163,163,Emma,British,Everyone was curious about the large white blimp that appeared overnight.,Everyone was curious about the large white blimp that appeared overnight.,0
164,164,Emma,British,The clouds formed beautiful animals in the sky that eventually created a tornado to wreak havoc.,The clouds formed beautiful animals in the sky that eventually created a tornado to wreak havoc.,0
165,165,Emma,British,Pink horses galloped across the sea.,Pink horses galloped across the sea.,0
166,166,Emma,British,"In hopes of finding out the truth, he entered the one-room library.","In hopes of finding out the truth, he entered the one room library.",1
