,Name,Language,Original,Transcription
0,Joanna,English,Gwen had her best sleep ever on her new bed of nails.,Gwen had her best sleep ever on her new bed of nails.
1,Joanna,English,When confronted with a rotary dial phone the teenager was perplexed.,"When confronted with the rotary dial found, a teenager was perplexed."
2,Joanna,English,There was no telling what thoughts would come from the machine.,There was no telling what thoughts would come from the machine.
3,Joanna,English,Baby wipes are made of chocolate stardust.,Baby wipes are made of chocolate stardust.
4,Joanna,English,It caught him off guard that space smelled of seared steak.,It cut him off guard that space smelled of seared steak.
5,Joanna,English,"You're unsure whether or not to trust him, but very thankful that you wore a turtle neck.","You're unsure whether or not to trust him, but very thankful that you wore a turtleneck."
6,Joanna,English,Cursive writing is the best way to build a race track.,CUrsive writing is the best way to build the racetrack.
7,Joanna,English,Today is the day I'll finally know what brick tastes like.,Today is the day I'll finally know what brick tastes like.
8,Joanna,English,"There was no ice cream in the freezer, nor did they have money to go to the store.","There was no ice cream in the freezer, nor did they have money to go to the store."
9,Joanna,English,Nothing seemed out of place except the washing machine in the bar.,Nothing seemed out of place except the washing machine in the bar.
10,Joanna,English,"He realized there had been several deaths on this road, but his concern rose when he saw the exact number.","He realized there had been several deaths on this road, but his concern rose when he saw the exact number."
11,Joanna,English,Jeanne wished she has chosen the red button.,Jean wished she has chosen the red button.
12,Joanna,English,"David subscribes to the ""stuff your tent into the bag"" strategy over nicely folding it.",David subscribes to the stuff your tent into the back strategy over nicely folding it.
13,Joanna,English,All you need to do is pick up the pen and begin.,All you need to do is pick up the pen and begin.
14,Joanna,English,The underground bunker was filled with chips and candy.,The underground bunker was filled with chips and candy.
15,Joanna,English,"It dawned on her that others could make her happier, but only she could make herself happy.","It dawned on her that others could make her happier, but only she could make herself happy."
16,Joanna,English,The green tea and avocado smoothie turned out exactly as would be expected.,"The green tea, an avocado smoothie, turned out exactly as would be expected."
17,Joanna,English,The thunderous roar of the jet overhead confirmed her worst fears.,The thunderous roar of the jet overhead confirmed her worst fears.
18,Joanna,English,It was the scarcity that fueled his creativity.,It was the scarcity that fueled his creativity.
19,Joanna,English,"The sky is clear, the stars are twinkling.","The sky is clear, the stars are twinkling."
20,Joanna,English,You have no right to call yourself creative until you look at a trowel and think that it would make a great lockpick.,You have no right to call yourself creative until you look at a trowel and think that it would make a great lock pick.
21,Joanna,English,I covered my friend in baby oil.,I covered my friend in Baby Oil.
22,Joanna,English,It's much more difficult to play tennis with a bowling ball than it is to bowl with a tennis ball.,It's much more difficult to play tennis with a bowling ball than it is to bowl with a tennis ball.
23,Joanna,English,He didn't understand why the bird wanted to ride the bicycle.,He didn't understand why the bird wanted to ride the bicycle.
24,Joanna,English,He had unknowingly taken up sleepwalking as a nighttime hobby.,He had unknowingly taken up sleepwalking as a nighttime hobby.
25,Joanna,English,The fact that there's a stairway to heaven and a highway to hell explains life well.,The fact that there's a stairway to heaven and a highway to hell explains life well.
26,Joanna,English,She couldn't understand why nobody else could see that the sky is full of cotton candy.,She couldn't understand why nobody else could see that the sky is full of cotton candy.
27,Joanna,English,The fence was confused about whether it was supposed to keep things in or keep things out.,Defense was confused about whether it was supposed to keep things in or keep things out.
28,Joanna,English,"For oil spots on the floor, nothing beats parking a motorbike in the lounge.","For oil spots on the floor, nothing beats parking a motorbike in the lounge."
29,Joanna,English,Nancy was proud that she ran a tight shipwreck.,Nancy was proud that she ran a tight ship wreck.
30,Joanna,English,We have young kids who often walk into our room at night for various reasons including clowns in the closet.,"We have young kids who often walk into our room at night for various reasons, including clowns in the closet."
31,Joanna,English,The lyrics of the song sounded like fingernails on a chalkboard.,The lyrics of the song sounded like fingernails on a chalkboard.
32,Joanna,English,Too many prisons have become early coffins.,Too many prisons have become early coffins.
33,Joanna,English,Everyone pretends to like wheat until you mention barley.,Everyone pretends to like weed until you mentioned barley.
34,Joanna,English,The truth is that you pay for your lifestyle in hours.,The truth is that you pay for your lifestyle in hours.
35,Joanna,English,The snow-covered path was no help in finding his way out of the back-country.,The snow covered path was no help in finding his way out of the backcountry.
36,Joanna,English,Nudist colonies shun fig-leaf couture.,Nudist colonies shun fig leaf couture.
37,Joanna,English,Beach-combing replaced wine tasting as his new obsession.,Beachcombing replaced wine tasting as his new obsession.
38,Joanna,English,I'd always thought lightning was something only I could see.,I'd always thought lightning was something only I could see.
39,Joanna,English,He dreamed of eating green apples with worms.,He dreamed of eating green apples with worms.
40,Joanna,English,"She was sad to hear that fireflies are facing extinction due to artificial light, habitat loss, and pesticides.","She was sad to hear that fireflies are facing extinction due to artificial light, habitat loss and pesticides."
41,Joanna,English,He was so preoccupied with whether or not he could that he failed to stop to consider if he should.,He was so preoccupied with whether or not he could that he failed to stop to consider if he should.
42,Joanna,English,It was a really good Monday for being a Saturday.,It was a really good monday for being a saturday.
43,Joanna,English,I ate a sock because people on the Internet told me to.,I ate a sock because people on the Internet told me to.
44,Joanna,English,I would be delighted if the sea were full of cucumber juice.,I would be delighted if the sea were full of cucumber juice.
45,Joanna,English,He felt that dining on the bridge brought romance to his relationship with his cat.,He felt that dining on the bridge brought romance to his relationship with his cat.
46,Joanna,English,There are few things better in life than a slice of pie.,There are a few things better in life than a slice of pie.
47,Joanna,English,A purple pig and a green donkey flew a kite in the middle of the night and ended up sunburnt.,A purple pig and a green donkey fluid kite in the middle of the night and ended up sunburnt.
48,Joanna,English,"She saw the brake lights, but not in time.","She saw the brake lights, but not in time."
49,Joanna,English,Please wait outside of the house.,Please wait outside of the house.
50,Joanna,English,Truth in advertising and dinosaurs with skateboards have much in common.,Truth in advertising and dinosaurs with skateboards have much in common.
51,Joanna,English,"There were white out conditions in the town, subsequently, the roads were impassable.","There were white out conditions in the town, subsequently the roads were impassable."
52,Joanna,English,I thought red would have felt warmer in summer but I didn't think about the equator.,"I thought red would have felt warmer in summer, but I didn't think about the equator."
53,Joanna,English,The toy brought back fond memories of being lost in the rain forest.,The toy brought back fond memories of being lost in the rain forest.
54,Joanna,English,Nobody has encountered an explosive daisy and lived to tell the tale.,Nobody has encountered an explosive daisy and lived to tell the tale.
55,Joanna,English,"After exploring the abandoned building, he started to believe in ghosts.","After exploring the abandoned building, he started to believe in ghosts."
56,Joanna,English,The truth is that you pay for your lifestyle in hours.,The truth is that you pay for your lifestyle in hours.
57,Joanna,English,The father died during childbirth.,The father died during childbirth.
58,Joanna,English,Imagine his surprise when he discovered that the safe was full of pudding.,Imagine his surprise when he discovered that the safe was full of pudding.
59,Joanna,English,A song can make or ruin a person’s day if they let it get to them.,A song can make or ruin a personas day if they let it get to them.
60,Joanna,English,She had a difficult time owning up to her own crazy self.,She had a difficult time owning up to her own crazy self.
61,Joanna,English,He dreamed of leaving his law firm to open a portable dog wash.,He dreamed of leaving his law firm to open a portable dog wash.
62,Joanna,English,I'd always thought lightning was something only I could see.,I'd always thought lightning was something only I could see.
63,Joanna,English,Everyone was curious about the large white blimp that appeared overnight.,Everyone was curious about the large white blimp that appeared overnight.
64,Joanna,English,The clouds formed beautiful animals in the sky that eventually created a tornado to wreak havoc.,The clouds form beautiful animals in the sky that eventually created a tornado to wreak havoc.
65,Joanna,English,Pink horses galloped across the sea.,Pink horses galloped across the sea.
66,Joanna,English,"In hopes of finding out the truth, he entered the one-room library.","In hopes of finding out the truth, he entered the one room library."
67,Joanna,English,She tilted her head back and let whip cream stream into her mouth while taking a bath.,She tilted her head back and let whip cream stream into her mouth while taking a bath.
68,Joanna,English,They looked up at the sky and saw a million stars.,They looked up at the sky and saw a million stars.
69,Joanna,English,The group quickly understood that toxic waste was the most effective barrier to use against the zombies.,The group quickly understood that toxic waste was the most effective barrier to use against the zombies.
70,Joanna,English,The gloves protect my feet from excess work.,The gloves protect my feet from excess work.
71,Joanna,English,"Green should have smelled more tranquil, but somehow it just tasted rotten.","Green should have smelled more tranquil, but somehow it just tasted rotten."
72,Joanna,English,The secret ingredient to his wonderful life was crime.,The secret ingredient to his wonderful life was crime.
73,Joanna,English,He decided to live his life by the big beats manifesto.,He decided to live his life by the big beats manifesto.
74,Joanna,English,"In the end, he realized he could see sound and hear words.","In the end, he realized he could see sound and hear words."
75,Joanna,English,The pet shop stocks everything you need to keep your anaconda happy.,The pet shop stocks everything you need to keep your anaconda happy.
76,Joanna,English,"He used to get confused between soldiers and shoulders, but as a military man, he now soldiers responsibility.","He used to get confused between soldiers and shoulders, but as a military man, he now soldiers responsibility."
77,Joanna,English,She advised him to come back at once.,She advised him to come back at once.
78,Joanna,English,The beauty of the African sunset disguised the danger lurking nearby.,The beauty of the African sunset disguised the danger lurking nearby.
79,Joanna,English,"The rusty nail stood erect, angled at a 45-degree angle, just waiting for the perfect barefoot to come along.","The rusty nails stood erect, angled at a 45° angle, just waiting for the perfect barefoot to come along."
80,Joanna,English,We should play with legos at camp.,We should play with legos at camp.
81,Joanna,English,I am my aunt's sister's daughter.,I am my aunt's sister's daughter.
82,Joanna,English,"It was obvious she was hot, sweaty, and tired.","It was obvious she was hot, sweaty and tired."
83,Joanna,English,Charles ate the french fries knowing they would be his last meal.,Charles ate the french fries knowing they would be his last meal.
84,Joanna,English,Watching the geriatric men’s softball team brought back memories of 3 yr olds playing t-ball.,Watching the geriatric Meno softball team brought back memories of three years olds playing t ball.
85,Joanna,English,He had a hidden stash underneath the floorboards in the back room of the house.,He had a hidden stash underneath the floorboards in the back room of the house.
86,Joanna,English,The father handed each child a roadmap at the beginning of the 2-day road trip and explained it was so they could find their way home.,The father handed each child a road map at the beginning of the two day road trip and explained it was so they could find their way home.
87,Joanna,English,It was always dangerous to drive with him since he insisted the safety cones were a slalom course.,"It was always dangerous to drive with him, since he insisted the safety cones were a slalom course."
88,Joanna,English,Plans for this weekend include turning wine into water.,Plans for this weekend include turning wine into water.
89,Joanna,English,He had accidentally hacked into his company's server.,He had accidentally hacked into his company's server.
90,Joanna,English,She found his complete dullness interesting.,She found his complete illness interesting.
91,Joanna,English,Karen realized the only way she was getting into heaven was to cheat.,Karen realized the only way she was getting into Heaven was to cheat.
92,Joanna,English,Siri became confused when we reused to follow her directions.,Syria became confused when we re used to follow her directions.
93,Joanna,English,It was the first time he had ever seen someone cook dinner on an elephant.,It was the first time he had ever seen someone cook dinner on an elephant.
94,Joanna,English,Fluffy pink unicorns are a popular status symbol among macho men.,Fluffy pink unicorns are a popular status symbol among macho men.
95,Joanna,English,Love is not like pizza.,Love is not like Pizza.
96,Joanna,English,Her scream silenced the rowdy teenagers.,Her scream silenced the rowdy teenagers.
97,Joanna,English,"The waves were crashing on the shore, it was a lovely sight.","The waves were crashing on the shore, It was a lovely sight."
98,Joanna,English,Sometimes you have to just give up and win by cheating.,Sometimes you have to just give up and win by cheating.
99,Joanna,English,He loved eating his bananas in hot dog buns.,He loved eating his bananas and hot dog buns.
100,Emma,British,Gwen had her best sleep ever on her new bed of nails.,Gwen had her best sleep ever on her new bed of nails.
101,Emma,British,When confronted with a rotary dial phone the teenager was perplexed.,"When confronted with a rodeo dial phone, the teenager was perplexed."
102,Emma,British,There was no telling what thoughts would come from the machine.,There was no telling what thoughts would come from the machine.
103,Emma,British,Baby wipes are made of chocolate stardust.,Baby wipes are made of chocolate stardust.
104,Emma,British,It caught him off guard that space smelled of seared steak.,It caught him off guard that space smelled of seared steak.
105,Emma,British,"You're unsure whether or not to trust him, but very thankful that you wore a turtle neck.","You're unsure whether or not to trust him, but very thankful that you wore a turtleneck."
106,Emma,British,Cursive writing is the best way to build a race track.,CUrsive writing is the best way to build a racetrack.
107,Emma,British,Today is the day I'll finally know what brick tastes like.,Today is the day I'll finally know what brick tastes like.
108,Emma,British,"There was no ice cream in the freezer, nor did they have money to go to the store.","There was no ice cream in the freezer, nor did they have money to go to the store."
109,Emma,British,Nothing seemed out of place except the washing machine in the bar.,Nothing seemed out of place except the washing machine in the bar.
110,Emma,British,"He realized there had been several deaths on this road, but his concern rose when he saw the exact number.","He realized there had been several deaths on this road, but his concern rose when he saw the exact number."
111,Emma,British,Jeanne wished she has chosen the red button.,Jean wished she has chosen the red button.
112,Emma,British,"David subscribes to the ""stuff your tent into the bag"" strategy over nicely folding it.",David subscribes to the stuff you tend into the bag strategy over nicely folding it.
113,Emma,British,All you need to do is pick up the pen and begin.,All you need to do is pick up the pen and begin.
114,Emma,British,The underground bunker was filled with chips and candy.,The underground bunker was filled with chips and candy.
115,Emma,British,"It dawned on her that others could make her happier, but only she could make herself happy.","It dawned down her that others could make her happier, but only she could make herself happy."
116,Emma,British,The green tea and avocado smoothie turned out exactly as would be expected.,The green tea and avocado smoothie turned out exactly as would be expected.
117,Emma,British,The thunderous roar of the jet overhead confirmed her worst fears.,The thunder is roar of the jet overhead confirmed her worst fears.
118,Emma,British,It was the scarcity that fueled his creativity.,It was the scarcity that fueled his creativity.
119,Emma,British,"The sky is clear, the stars are twinkling.","The sky is clear, the stars are twinkling."
120,Emma,British,You have no right to call yourself creative until you look at a trowel and think that it would make a great lockpick.,You have no right to call yourself creative until you look at a drawl and think that it would make a great lark pick.
121,Emma,British,I covered my friend in baby oil.,I covered my friend in Baby Oil.
122,Emma,British,It's much more difficult to play tennis with a bowling ball than it is to bowl with a tennis ball.,It's much more difficult to play tennis with a bowling ball than it is to bowl with a tennis ball.
123,Emma,British,He didn't understand why the bird wanted to ride the bicycle.,He didn't understand why the bird wanted to ride the bicycle.
124,Emma,British,He had unknowingly taken up sleepwalking as a nighttime hobby.,He had unknowingly taken up sleepwalking as a nighttime harvey.
125,Emma,British,The fact that there's a stairway to heaven and a highway to hell explains life well.,The fact that there's a stairway to heaven and a highway to hell explains life well.
126,Emma,British,She couldn't understand why nobody else could see that the sky is full of cotton candy.,She couldn't understand why nobody else could see that the sky is full of cotton candy.
127,Emma,British,The fence was confused about whether it was supposed to keep things in or keep things out.,The fence was confused about whether it was supposed to keep things in or keep things out.
128,Emma,British,"For oil spots on the floor, nothing beats parking a motorbike in the lounge.","For royal spots on the floor, nothing beats parking a motorbike in the lounge."
129,Emma,British,Nancy was proud that she ran a tight shipwreck.,Nancy was proud that she ran a tight ship wreck.
130,Emma,British,We have young kids who often walk into our room at night for various reasons including clowns in the closet.,"We have young kids who often walk into our room at night for various reasons, including clowns in the closet."
131,Emma,British,The lyrics of the song sounded like fingernails on a chalkboard.,The lyrics of the sound sounded like fingernails and a chalkboard.
132,Emma,British,Too many prisons have become early coffins.,Too many prisons have become early coffins.
133,Emma,British,Everyone pretends to like wheat until you mention barley.,Everyone pretends to like wheat until you mentioned Bonnie.
134,Emma,British,The truth is that you pay for your lifestyle in hours.,The truth is that you pay for your lifestyle in our.
135,Emma,British,The snow-covered path was no help in finding his way out of the back-country.,The snow covered path was no help in finding his way out of the back country.
136,Emma,British,Nudist colonies shun fig-leaf couture.,The nudist colonies Shan fig leaf couture.
137,Emma,British,Beach-combing replaced wine tasting as his new obsession.,Beachcombing replaced wine tasting as his new obsession.
138,Emma,British,I'd always thought lightning was something only I could see.,I'd always thought lightning was something only I could see.
139,Emma,British,He dreamed of eating green apples with worms.,He dreamed of eating green apples with worms.
140,Emma,British,"She was sad to hear that fireflies are facing extinction due to artificial light, habitat loss, and pesticides.","She was sad to hear that fireflies are facing extinction due to artificial light, habitat loss and pesticides."
141,Emma,British,He was so preoccupied with whether or not he could that he failed to stop to consider if he should.,He was so preoccupied with whether or not he could that he failed to start to consider if he should.
142,Emma,British,It was a really good Monday for being a Saturday.,It was a really good monday for being a saturday.
143,Emma,British,I ate a sock because people on the Internet told me to.,I ate a sock because people on the Internet told me to.
144,Emma,British,I would be delighted if the sea were full of cucumber juice.,I would be delighted if the sea was full of cucumber juice.
145,Emma,British,He felt that dining on the bridge brought romance to his relationship with his cat.,He felt that dining on the bridge brought romance to his relationship with his cat.
146,Emma,British,There are few things better in life than a slice of pie.,There are few things better in life than a slice of pie.
147,Emma,British,A purple pig and a green donkey flew a kite in the middle of the night and ended up sunburnt.,A purple pig and a green donkey flew a kite in the middle of the night and ended up sunburned.
148,Emma,British,"She saw the brake lights, but not in time.","She saw the brake lights, but not in time."
149,Emma,British,Please wait outside of the house.,Please wait outside of the house.
150,Emma,British,Truth in advertising and dinosaurs with skateboards have much in common.,Truth in advertising and dinosaurs with skateboards have much in common.
151,Emma,British,"There were white out conditions in the town, subsequently, the roads were impassable.","There were white out conditions in the town, subsequently the roads were impassable."
152,Emma,British,I thought red would have felt warmer in summer but I didn't think about the equator.,"I thought red would have felt warmer in summer, but I didn't think about the equator."
153,Emma,British,The toy brought back fond memories of being lost in the rain forest.,The toy brought back found memories of being lost in the rain forest.
154,Emma,British,Nobody has encountered an explosive daisy and lived to tell the tale.,Nobody has encountered an explosive daisy and lived to tell the tale.
155,Emma,British,"After exploring the abandoned building, he started to believe in ghosts.","After exploring the abandoned building, he started to believe in ghosts."
156,Emma,British,The truth is that you pay for your lifestyle in hours.,The truth is that you pay for your lifestyle in our.
157,Emma,British,The father died during childbirth.,The father died during childbirth.
158,Emma,British,Imagine his surprise when he discovered that the safe was full of pudding.,Imagine his surprise when he discovered that the safe was full of pudding.
159,Emma,British,A song can make or ruin a person’s day if they let it get to them.,Assange can make or ruin a personas day if they let it get to them.
160,Emma,British,She had a difficult time owning up to her own crazy self.,She had a difficult time owning up to her own crazy self.
161,Emma,British,He dreamed of leaving his law firm to open a portable dog wash.,He dreamed of leaving his law firm to open a portable dog wash.
162,Emma,British,I'd always thought lightning was something only I could see.,I'd always thought lightning was something only I could see.
163,Emma,British,Everyone was curious about the large white blimp that appeared overnight.,Everyone was curious about the large white blimp that appeared overnight.
164,Emma,British,The clouds formed beautiful animals in the sky that eventually created a tornado to wreak havoc.,The clouds formed beautiful animals in the sky that eventually created a tornado to wreak havoc.
165,Emma,British,Pink horses galloped across the sea.,Pink horses galloped across the sea.
166,Emma,British,"In hopes of finding out the truth, he entered the one-room library.","In hopes of finding out the truth, he entered the one room library."
167,Emma,British,She tilted her head back and let whip cream stream into her mouth while taking a bath.,She tilted her head back and let whip cream stream into her mouth while taking a bath.
168,Emma,British,They looked up at the sky and saw a million stars.,They looked up at the sky and saw a million stars.
169,Emma,British,The group quickly understood that toxic waste was the most effective barrier to use against the zombies.,The group quickly understood that toxic waste was the most effective barrier to use against the zombies.
170,Emma,British,The gloves protect my feet from excess work.,The gloves protect my feet from access work.
171,Emma,British,"Green should have smelled more tranquil, but somehow it just tasted rotten.","Green should have smelled more tranquil, but somehow it just tasted rotten."
172,Emma,British,The secret ingredient to his wonderful life was crime.,The secret ingredient to his wonderful life was crime.
173,Emma,British,He decided to live his life by the big beats manifesto.,He decided to live his life by the big beats manifesto.
174,Emma,British,"In the end, he realized he could see sound and hear words.","In the end, he realized he could see sound and hear words."
175,Emma,British,The pet shop stocks everything you need to keep your anaconda happy.,The Pet Sharp Starks everything you need to keep your in a kind of happy.
176,Emma,British,"He used to get confused between soldiers and shoulders, but as a military man, he now soldiers responsibility.","He used to get confused between soldiers and shoulders, but as a military man, he now soldiers responsibility."
177,Emma,British,She advised him to come back at once.,She advised him to come back at once.
178,Emma,British,The beauty of the African sunset disguised the danger lurking nearby.,The beauty of the African sunset disguised the danger lurking nearby.
179,Emma,British,"The rusty nail stood erect, angled at a 45-degree angle, just waiting for the perfect barefoot to come along.","The rusty nail stood direct, angled at a 45 degree angle, just waiting for the perfect barefoot to car millen."
180,Emma,British,We should play with legos at camp.,We should play with legos at camp.
181,Emma,British,I am my aunt's sister's daughter.,I am my aunt's sister's daughter.
182,Emma,British,"It was obvious she was hot, sweaty, and tired.","It was obvious she was hurt, sweaty and tired."
183,Emma,British,Charles ate the french fries knowing they would be his last meal.,Charles ate the french fries knowing they would be his last meal.
184,Emma,British,Watching the geriatric men’s softball team brought back memories of 3 yr olds playing t-ball.,Watching the Bariatric Minos softball team brought back memories of three years old playing t ball.
185,Emma,British,He had a hidden stash underneath the floorboards in the back room of the house.,He had a hidden stash underneath the floorboards in the back room of the house.
186,Emma,British,The father handed each child a roadmap at the beginning of the 2-day road trip and explained it was so they could find their way home.,The father handed each child a road map at the beginning of the two day road trip and explained it was so they could find their way home.
187,Emma,British,It was always dangerous to drive with him since he insisted the safety cones were a slalom course.,"It was always danger as to drive with him, since he insisted the safety cones were a slalom course."
188,Emma,British,Plans for this weekend include turning wine into water.,Plans for this week and include turning wine into water.
189,Emma,British,He had accidentally hacked into his company's server.,He had accidentally hacked into his company's server.
190,Emma,British,She found his complete dullness interesting.,She found his complete stillness interesting.
191,Emma,British,Karen realized the only way she was getting into heaven was to cheat.,Karen realized that the only way she was getting into Heaven was to cheat.
192,Emma,British,Siri became confused when we reused to follow her directions.,Syria became confused when we re used to follow her actions.
